state,n_state,y_sum,theta_pop,theta_pop_w
01,981,295,0.3007135575942915,0.3654689210932543
04,1907,545,0.28578919769271105,0.3541974497056534
05,881,251,0.2849035187287174,0.3116173254104765
06,4736,1784,0.3766891891891892,0.4436396803907017
08,1759,504,0.2865264354747015,0.34436180109528025
09,1039,378,0.3638113570741097,0.406106098806516
10,1257,405,0.3221957040572792,0.3621394307851712
11,1158,308,0.2659758203799655,0.32722640710279377
12,2637,936,0.35494880546075086,0.41132605835184294
13,1765,596,0.3376770538243626,0.4041124972111302
16,1485,408,0.27474747474747474,0.2748641820917968
17,1550,507,0.3270967741935484,0.3750383954906896
18,1155,369,0.3194805194805195,0.37112642113350425
19,1146,327,0.28534031413612565,0.28656220007396316
20,1036,274,0.2644787644787645,0.2885565484146494
21,1138,403,0.3541300527240773,0.3823131080219413
22,865,353,0.40809248554913297,0.4331059122143546
23,1140,340,0.2982456140350877,0.33519834537237714
24,1629,504,0.30939226519337015,0.3981170232957609
25,1867,646,0.3460096411355115,0.4252497013353953
26,1954,787,0.40276356192425794,0.4318411771408354
27,1458,465,0.31893004115226337,0.33796690032122595
28,840,283,0.33690476190476193,0.36015475213087444
29,1149,357,0.31070496083550914,0.32191149350846177
30,1189,328,0.27586206896551724,0.29172759145861515
31,1127,303,0.2688553682342502,0.2961370469797218
32,1160,450,0.3879310344827586,0.48287041634459354
33,1358,423,0.3114874815905744,0.34908973152094663
34,1355,498,0.3675276752767528,0.4697280807452863
35,1263,400,0.3167062549485352,0.39727503800203373
36,1682,576,0.34244946492271106,0.4433499230693314
37,1399,432,0.30879199428162973,0.3203093352013344
38,771,232,0.3009079118028534,0.3112742905290455
39,1287,410,0.3185703185703186,0.33913504837770747
40,981,281,0.28644240570846075,0.3340546505649345
41,1630,516,0.3165644171779141,0.3741859562332028
42,1824,621,0.3404605263157895,0.38403894280960327
44,897,308,0.3433667781493868,0.3735367218383764
45,1224,383,0.31290849673202614,0.3647444822029602
46,650,192,0.2953846153846154,0.35428274281956107
47,1198,392,0.327212020033389,0.35358487551022466
48,3441,1155,0.33565823888404533,0.4121171093411273
49,1875,432,0.2304,0.2869362137452672
50,1048,352,0.33587786259541985,0.3872878494096838
51,1885,512,0.2716180371352785,0.31975071610492045
53,2525,829,0.32831683168316833,0.37378851895036924
54,935,260,0.27807486631016043,0.3011228288322511
55,1215,373,0.3069958847736626,0.33386111244292843
56,762,212,0.2782152230971129,0.3159560426794016
