state1,state2
01,12
01,13
01,28
01,47
04,06
04,08
04,32
04,35
04,49
05,22
05,28
05,29
05,40
05,47
05,48
06,32
06,41
08,20
08,31
08,35
08,40
08,49
08,56
09,25
09,36
09,44
10,24
10,34
10,42
11,24
11,51
12,13
13,37
13,45
13,47
16,30
16,32
16,41
16,49
16,53
16,56
17,18
17,19
17,21
17,26
17,29
17,55
18,21
18,26
18,39
19,27
19,29
19,31
19,46
19,55
20,29
20,31
20,40
21,29
21,39
21,47
21,51
21,54
22,28
22,48
23,33
24,42
24,51
24,54
25,33
25,36
25,44
25,50
26,27
26,39
26,55
27,38
27,46
27,55
28,47
29,31
29,40
29,47
30,38
30,46
30,56
31,46
31,56
32,41
32,49
33,50
34,36
34,42
35,40
35,48
35,49
36,42
36,44
36,50
37,45
37,47
37,51
38,46
39,42
39,54
40,48
41,53
42,54
46,56
47,51
49,56
51,54
