method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
HT,01,0.005872789798290734,0.07663412946129639,-0.006861713343679132,4.708311001082426e-5,NA,0.35860720774957516,0.3654689210932543,98,AL,-0.006861713343679132
HT,04,0.002879079412530598,0.05365705370713712,0.02139730686069758,4.578447408908558e-4,NA,0.375594756566351,0.3541974497056534,190,AZ,0.021397306860697574
HT,05,0.005235543228229695,0.07235705375586886,-0.015048889554964126,2.2646907683750836e-4,NA,0.29656843585551235,0.3116173254104765,88,AR,-0.01504888955496414
HT,06,0.0013095367819910381,0.03618752246273622,-0.015531274228053615,2.4122047914700243e-4,NA,0.42810840616264806,0.4436396803907017,473,CA,-0.015531274228053615
HT,08,0.0028512009274786003,0.053396637791892854,-0.02624459785705389,6.887789166784777e-4,NA,0.31811720323822634,0.34436180109528025,175,CO,-0.02624459785705391
HT,09,0.007009884668395561,0.0837250540065252,0.02848457116843306,8.113707946495279e-4,NA,0.43459066997494905,0.406106098806516,103,CT,0.02848457116843306
HT,10,0.006226388440603505,0.07890746758452906,-0.015866728235392896,2.5175306489581416e-4,NA,0.34627270254977827,0.3621394307851712,125,DE,-0.015866728235392924
HT,11,0.003450125834089282,0.058737771783489386,7.649293019517222e-4,5.851168369843491e-7,NA,0.3279913364047455,0.32722640710279377,115,DC,7.649293019517112e-4
HT,12,0.0020347108004849512,0.04510776873760163,-0.010212760577410145,1.0430047861150281e-4,NA,0.4011132977744328,0.41132605835184294,263,FL,-0.010212760577410163
HT,13,0.005403105749903397,0.07350582119739495,0.0332716206762366,0.001107000742423375,NA,0.4373841178873668,0.4041124972111302,176,GA,0.033271620676236624
HT,16,0.0028234542529543016,0.053136185908985806,-0.014737717185744783,2.1720030784699713e-4,NA,0.260126464906052,0.2748641820917968,148,ID,-0.014737717185744792
HT,17,0.005756976375299026,0.07587474135243577,0.016382808536281896,2.6839641553647097e-4,NA,0.3914212040269715,0.3750383954906896,155,IL,0.01638280853628188
HT,18,0.002910233540251765,0.053946580431495056,-0.014316781406363416,2.0497022983759322e-4,NA,0.35680963972714086,0.37112642113350425,115,IN,-0.014316781406363388
HT,19,0.0034077904812596918,0.058376283551282125,0.01815063783648124,3.294456538711044e-4,NA,0.3047128379104444,0.28656220007396316,114,IA,0.018150637836481243
HT,20,0.006250446480951951,0.07905976524726058,-0.012533886050868484,1.5709829953615556e-4,NA,0.2760226623637809,0.2885565484146494,103,KS,-0.01253388605086847
HT,21,0.0028486804589017366,0.05337303119461866,0.006173894082276643,3.811696813917055e-5,NA,0.38848700210421794,0.3823131080219413,113,KY,0.006173894082276643
HT,22,0.0030306481437151443,0.05505132281530703,-0.0016192544225659745,2.6219848849994674e-6,NA,0.43148665779178863,0.4331059122143546,86,LA,-0.0016192544225659966
HT,23,0.012521497656805611,0.11189949801855954,-0.062070345948035247,0.0038527278461087757,NA,0.2731279994243419,0.33519834537237714,114,ME,-0.06207034594803523
HT,24,0.0043757786846144635,0.06614966881711853,-0.002819178779632636,7.947768991530959e-6,NA,0.39529784451612826,0.3981170232957609,162,MD,-0.002819178779632614
HT,25,0.0012774408110976868,0.03574130399268732,-0.00526785478547454,2.7750294040847013e-5,NA,0.41998184654992077,0.4252497013353953,186,MA,-0.005267854785474535
HT,26,0.001867601753052411,0.04321575815663091,0.007508803143067622,5.638212464134219e-5,NA,0.43934998028390304,0.4318411771408354,195,MI,0.007508803143067622
HT,27,0.004925464108622878,0.07018165079721962,2.9135410565699624e-4,8.488721488318813e-8,NA,0.33825825442688295,0.33796690032122595,145,MN,2.913541056570046e-4
HT,28,0.01022160348672602,0.10110194600860074,0.006314622675373194,3.987445953233731e-5,NA,0.36646937480624764,0.36015475213087444,84,MS,0.006314622675373194
HT,29,0.003372795726381807,0.05807577572776628,0.010262448763882515,1.0531785463131377e-4,NA,0.33217394227234426,0.32191149350846177,114,MO,0.010262448763882492
HT,30,0.003235383203803002,0.05688042900508928,-0.02070906923728891,4.288655486748259e-4,NA,0.2710185222213262,0.29172759145861515,118,MT,-0.020709069237288935
HT,31,0.0028201435155664457,0.05310502344944822,0.01538748873173357,2.367748094692276e-4,NA,0.3115245357114554,0.2961370469797218,112,NE,0.015387488731733567
HT,32,0.004773387632157519,0.06908970713613945,-0.023052748108551735,5.314291953563356e-4,NA,0.4598176682360418,0.48287041634459354,116,NV,-0.023052748108551735
HT,33,0.003766925614652679,0.061375285047425066,-0.03385109493289393,0.0011458966281557969,NA,0.31523863658805273,0.34908973152094663,135,NH,-0.0338510949328939
HT,34,0.003838709459685472,0.0619573196618888,0.002480806717197448,6.154401968091979e-6,NA,0.4722088874624838,0.4697280807452863,135,NJ,0.00248080671719747
HT,35,0.005006307446704725,0.07075526444516143,-0.00849082597591217,7.209412575322484e-5,NA,0.38878421202612157,0.39727503800203373,126,NM,-0.008490825975912164
